Περιγραφή,Κωδικός,Έτος,Μήνας,Sales
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Μάιος,499
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Ιούνιος,618
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Ιούλιος,1228
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Αύγουστος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Σεπτέμβριος,1020
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Οκτώβριος,780
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Νοέμβριος,420
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΚΛΑΣΣΙΚΟ 2L-1€,010012CYP,2020,Δεκέμβριος,600
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Ιανουάριος,18
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Φεβρουάριος,480
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Μάρτιος,745
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Απρίλιος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Μάιος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Ιούνιος,621
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Ιούλιος,840
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Αύγουστος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Σεπτέμβριος,590
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Οκτώβριος,424
